transaction_id,customer_id,customer_name,email,phone_number,amount,payment_method,transaction_status,transaction_date,city,login_attempts,device_type
1001,C008,Aman,user1@mail.com,8181241943,5400,Card,Failed,2026-05-20,Bangalore,8,mobile
1002,C028,Aman,user2@mail.com,7127978094,499,Card,Failed,,,0,Tablet
1003,C013,,user3@mail.com,9791232393,0,Card,Done,,Kathmandu,0,Mobile
1004,C028,Sohan,user4@mail.com,8193448329,1200,Card,Pending,2026-05-20,Delhi,6,mobile
1005,C023,Neha,user5@mail.com,8477278577,-300,UPI,Done,,Delhi,6,mobile
1006,C019,Neha,user6@mail.com,9699987374,99999,Bitcoin,Failed,2026-05-20,Delhi,3,MOBILE
1007,C006,Neha,user7mail.com,7999829240,499,NetBanking,Pending,2026-13-40,Bangalore,5,Mobile
1008,C024,Sohan,user8@mail.com,7899825838,-300,Cheque,Success,,Bangalore,2,Tablet
1009,C016,Riya,user9@mail.com,12345,0,Cash,Unknown,2026/05/21,Bangalore,5,mobile
1010,C015,Neha,user10@mail.com,7137869475,99999,NetBanking,Pending,2026-05-20,Mumbai,5,Mobile
1011,C032,Priya,user11@mail.com,9761027762,750,Card,Pending,2026/05/21,Mumbai,8,Tablet
1012,,,user12@mail.com,9510777721,0,Bitcoin,Done,21-05-2026,Mumbai,2,Tablet
1013,C032,Aman,user13@mail.com,7202363285,499,Card,Failed,2026-13-40,,1,desktop
1014,C025,Rahul,user14@mail.com,9010258946,-300,Bitcoin,Success,2026-05-20,Bangalore,8,MOBILE
1005,C022,Aman,user15@mail.com,8260573448,0,Card,Done,2026-05-20,Bangalore,4,Tablet
1016,C012,Rahul,user16@mail.com,7457031004,-300,Cheque,Unknown,,Mumbai,2,MOBILE
1017,C011,Rahul,user17@mail.com,9277851678,250,Bitcoin,Pending,2026-13-40,Delhi,1,MOBILE
1018,C020,Riya,user18@mail.com,7248786714,5400,Bitcoin,Success,2026-05-20,Bangalore,7,mobile
1019,C035,Neha,user19@mail.com,7540137296,1200,Cheque,Done,,Mumbai,4,Tablet
1020,C028,Riya,user20@mail.com,9316259067,5400,Cheque,Pending,2026-13-40,Bangalore,5,desktop
1021,C034,Priya,user21mail.com,7519709079,5400,Card,Success,21-05-2026,Delhi,8,Mobile
1022,C015,Aman,user22@mail.com,7304912982,250,Card,Success,2026-05-20,Kathmandu,1,Tablet
1023,C016,Sohan,user23@mail.com,9873237671,750,Card,Unknown,2026/05/21,Bangalore,7,Mobile
1024,C031,Neha,user24@mail.com,8748309234,5400,UPI,Success,2026-13-40,Kathmandu,6,desktop
1025,C030,Neha,user25@mail.com,7232663462,499,UPI,Done,21-05-2026,Delhi,3,Mobile
1026,C013,Rahul,user26@mail.com,8926780541,1200,NetBanking,Failed,21-05-2026,Patna,3,mobile
1027,C029,Neha,user27@mail.com,9363629219,499,UPI,Unknown,2026-05-20,Delhi,3,Mobile
1028,C027,Priya,user28@mail.com,9067418686,5400,NetBanking,Success,2026/05/21,Patna,0,desktop
1029,C017,Neha,user29@mail.com,8954246074,-300,NetBanking,Unknown,2026-13-40,Mumbai,3,MOBILE
1030,C014,Aman,user30@mail.com,9487560384,250,Cheque,Pending,2026-05-20,Delhi,7,Tablet
1031,C034,Riya,user31@mail.com,7244295904,499,Card,Success,,Delhi,3,desktop
1032,C008,Rahul,user32@mail.com,8057486868,250,Bitcoin,Success,2026-13-40,Bangalore,8,MOBILE
1033,,Riya,user33@mail.com,9876451163,99999,Card,Pending,2026-13-40,Mumbai,4,desktop
1034,C021,Neha,user34@mail.com,7311570307,250,NetBanking,Unknown,,Delhi,1,Tablet
1035,C014,Rahul,user35@mail.com,8139027119,1200,Cash,Success,2026/05/21,Kathmandu,4,Mobile
1036,C029,Neha,user36@mail.com,9333103372,-300,Bitcoin,Unknown,2026-05-20,Bangalore,8,MOBILE
1037,C007,Riya,user37@mail.com,8135872495,499,UPI,Unknown,2026/05/21,Kathmandu,4,Tablet
1038,C014,,user38@mail.com,8472659626,5400,Cheque,Pending,,Patna,4,mobile
1039,C006,,user39@mail.com,8819244083,-300,UPI,Success,21-05-2026,Mumbai,4,Mobile
1040,C029,Rahul,user40@mail.com,8836901321,250,UPI,Success,2026/05/21,,0,MOBILE
1041,C010,Priya,user41@mail.com,7547374338,250,Cash,Pending,2026-05-20,Kathmandu,3,
1042,C016,,user42@mail.com,7441495235,99999,Bitcoin,Done,,Bangalore,2,Mobile
1043,C011,Neha,user43@mail.com,7760434128,0,UPI,Failed,21-05-2026,Patna,3,MOBILE
1044,C011,Neha,user44@mail.com,7464267175,0,UPI,Done,2026/05/21,Mumbai,7,MOBILE
1045,C020,Neha,user45@mail.com,7977515194,5400,UPI,Failed,2026-13-40,Kathmandu,4,mobile
1046,C018,Sohan,user46@mail.com,9755143093,0,Cheque,Unknown,21-05-2026,Delhi,1,MOBILE
1047,C012,Rahul,user47@mail.com,8140169349,250,UPI,Unknown,2026-13-40,Kathmandu,5,desktop
1005,C033,Aman,user48@mail.com,8654401763,5400,Cash,Success,2026-13-40,Delhi,8,Tablet
1049,C013,Sohan,user49@mail.com,8852408227,499,Cheque,Pending,,Kathmandu,1,
1050,C020,Rahul,user50@mail.com,8328367510,0,Cash,Done,21-05-2026,,2,Mobile
1051,C027,,user51@mail.com,8628416575,1200,Bitcoin,Unknown,21-05-2026,Patna,8,mobile
1052,C020,Sohan,user52mail.com,7902727745,0,Bitcoin,Unknown,21-05-2026,Patna,7,desktop
1053,C014,Rahul,user53@mail.com,9032319170,1200,Cheque,Success,21-05-2026,,5,mobile
1054,C016,,user54@mail.com,12345,5400,Card,Failed,2026-05-20,Delhi,3,desktop
1055,C005,Priya,user55@mail.com,8780010572,5400,Cheque,Done,2026-13-40,Patna,3,Mobile
1056,C001,Neha,user56@mail.com,7457788949,0,Card,Failed,,Patna,0,Tablet
1057,C016,Neha,user57@mail.com,7521231222,750,Card,Done,,,5,desktop
1058,C033,Priya,user58@mail.com,9353092123,750,Card,Done,2026-13-40,Kathmandu,3,
1059,C018,Neha,user59@mail.com,9238965651,750,Cheque,Failed,21-05-2026,Patna,1,
1060,C019,Riya,user60@mail.com,8167007513,99999,Cash,Unknown,2026-05-20,Mumbai,2,Mobile
1061,,,user61@mail.com,7656293602,5400,UPI,Done,2026-13-40,Kathmandu,8,desktop
1062,C027,Aman,user62@mail.com,7888346940,0,NetBanking,Unknown,2026-05-20,,6,desktop
1063,C001,Sohan,user63@mail.com,8282531582,0,NetBanking,Unknown,,,3,desktop
1064,C015,Sohan,user64@mail.com,8871901278,750,UPI,Done,21-05-2026,Bangalore,6,
1065,C011,Neha,user65@mail.com,9007425404,1200,Bitcoin,Unknown,2026-05-20,Patna,0,mobile
